DM61,NM,TX,,
DN79,SK,,,
DN78,MT,,,
DN77,MT,,,
DN76,MT,,,
DN75,MT,,,
DN74,WY,,,
DN73,WY,,,
DN72,WY,,,
DN71,WY,,,
DN70,CO,,,
DM79,CO,,,
DM78,CO,,,
DM77,NM,,,
DM76,NM,,,
DM75,NM,,,
DM74,NM,,,
DM73,NM,,,
DM72,NM,,,
DM71,TX,,,
DM70,TX,,,
DN89,SK,,,
DN88,ND,,,
DN87,ND,,,
DN86,ND,,,
DN85,SD,,,
DN84,SD,,,
DN83,SD,,,
DN82,NE,,,
DN81,NE,,,
DN80,CO,,,
DM89,CO,,,
DM88,CO,,,
DM87,CO,,,
DM86,NM,TX,OK,
DM85,TX,NM,,
DM84,TX,NM,,
DM83,TX,NM,,
DM82,TX,NM,,
DM81,TX,,,
DM80,TX,,,
DL89,TX,,,
DN99,MB,SK,,
DN98,ND,,,
DN97,ND,,,
DN96,ND,,,
DN95,SD,,,
DN94,SD,,,
DN93,SD,,,
DN92,NE,,,
DN91,NE,,,
DN90,NE,,,
DM99,KS,,,
DM98,KS,,,
DM97,KS,,,
DM96,KS,TX,,
DM95,TX,,,
DM94,TX,,,
DM93,TX,,,
DM92,TX,,,
DM91,TX,,,
DM90,TX,,,
DL99,TX,,,
DL98,TX,,,
EN09,MB,,,
EN08,ND,,,
EN07,ND,,,
EN06,ND,,,
EN05,SD,,,
EN04,SD,,,
EN03,SD,,,
EN02,NE,,,
EN01,NE,,,
EN00,NE,,,
EM09,KS,,,
EM08,KS,,,
EM07,KS,,,
EM06,OK,,,
EM05,OK,,,
EM04,OK,TX,,
EM03,TX,,,
EM02,TX,,,
EM01,TX,,,
EM00,TX,,,
EL09,TX,,,
EL08,TX,,,
EL07,TX,,,
EL06,TX,,,
EN19,MB,,,
EN18,MN,ND,,
EN17,ND,MN,,
EN16,ND,MN,,
EN15,SD,MN,,
EN14,SD,MN,,
EN13,SD,IA,MN,
EN12,NE,IA,SD,
EN11,NE,IA,,
EN10,NE,,,
EM19,KS,,,
EM18,KS,,,
EM17,KS,,,
EM16,OK,,,
EM15,OK,,,
EM14,OK,,,
EM13,TX,OK,,
EM12,TX,,,
EM11,TX,,,
EM10,TX,,,
EL19,TX,,,
EL18,TX,,,
EL17,TX,,,
EL16,TX,,,
EL15,TX,,,
EN29,ON,MB,,
EN28,MN,ON,,
EN27,MN,,,
EN26,MN,,,
EN25,MN,,,
EN24,MN,,,
EN23,MN,IA,,
EN22,IA,,,
EN21,IA,NE,,
EN20,MO,IA,NE,
EM29,KS,MO,,
EM28,KS,MO,,
EM27,KS,MO,,
EM26,OK,AR,MO,
EM25,OK,AR,,
EM24,OK,AR,,
EM23,TX,AR,OK,
EM22,TX,,,
EM21,TX,,,
EM20,TX,,,
EL29,TX,,,
EL28,TX,,,
EN39,ON,,,
EN38,ON,MN,,
EN37,MN,,,
EN36,MN,WI,,
EN35,MN,WI,,
EN34,MN,WI,,
EN33,MN,IA,,
EN32,IA,,,
EN31,IA,,,
EN30,MO,IA,,
EM39,MO,,,
EM38,MO,,,
EM37,MO,,,
EM36,MO,AR,,
EM35,AR,,,
EM34,AR,,,
EM33,AR,,,
EM32,LA,,,
EM31,LA,TX,,
EM30,LA,TX,,
EL39,LA,TX,,
EN49,ON,,,
EN48,ON,MN,,
EN47,MN,,,
EN46,WI,MI,,
EN45,WI,,,
EN44,WI,MN,,
EN43,WI,MN,IA,
EN42,IA,WI,IL,
EN41,IA,IL,,
EN40,IL,IA,MO,
EM49,IL,MO,,
EM48,MO,IL,,
EM47,MO,,,
EM46,MO,AR,,
EM45,AR,TN,,
EM44,AR,MS,,
EM43,MS,AR,,
EM42,MS,LA,,
EM41,MS,LA,,
EM40,LA,,,
EL49,LA,,,
EN59,ON,,,
EN58,ON,,,
EN57,MI,,,
EN56,MI,WI,,
EN55,WI,,,
EN54,WI,,,
EN53,WI,,,
EN52,WI,IL,,
EN51,IL,,,
EN50,IL,,,
EM59,IL,,,
EM58,IL,,,
EM57,IL,MO,KY,
EM56,TN,KY,MO,
EM55,TN,AR,,
EM54,MS,AL,,
EM53,MS,AL,,
EM52,MS,AL,,
EM51,MS,AL,,
EM50,MS,LA,AL,
EL59,LA,,,
EL58,LA,,,
EN69,ON,,,
EN68,ON,,,
EN67,MI,,,
EN66,MI,,,
EN65,MI,WI,,
EN64,MI,WI,,
EN63,MI,WI,,
EN62,MI,WI,IL,
EN61,IN,IL,MI,
EN60,IN,IL,,
EM69,IN,IL,,
EM68,IN,IL,,
EM67,KY,IN,,
EM66,TN,KY,,
EM65,TN,,,
EM64,AL,,,
EM63,AL,,,
EM62,AL,,,
EM61,AL,,,
EM60,FL,AL,,
EN79,ON,,,
EN78,ON,,,
EN77,ON,,,
EN76,MI,,,
EN75,MI,,,
EN74,MI,,,
EN73,MI,,,
EN72,MI,,,
EN71,IN,OH,MI,
EN70,IN,OH,,
EM79,IN,OH,,
EM78,KY,IN,,
EM77,KY,,,
EM76,TN,KY,,
EM75,TN,NC,,
EM74,GA,AL,,
EM73,GA,AL,,
EM72,GA,AL,,
EM71,GA,AL,,
EM70,FL,GA,,
EL79,FL,,,
EN89,ON,,,
EN88,ON,,,
EN87,ON,,,
EN86,ON,,,
EN85,ON,MI,,
EN84,ON,MI,,
EN83,ON,MI,,
EN82,ON,MI,,
EN81,OH,MI,,
EN80,OH,,,
EM89,OH,,,
EM88,KY,OH,WV,
EM87,KY,WV,VA,
EM86,TN,KY,NC,
EM85,NC,TN,SC,
EM84,SC,GA,,
EM83,GA,SC,,
EM82,GA,,,
EM81,GA,,,
EM80,FL,GA,,
EL89,FL,,,
EL88,FL,,,
EL87,FL,,,
EL86,FL,,,
EL85,FL,,,
EL84,FL,,,
EN99,ON,,,
EN98,ON,,,
EN97,ON,,,
EN96,ON,,,
EN95,ON,,,
EN94,ON,,,
EN93,ON,,,
EN92,ON,,,
EN91,OH,PA,,
EN90,OH,WV,PA,
EM99,WV,OH,PA,
EM98,WV,,,
EM97,WV,VA,,
EM96,VA,NC,TN,
EM95,NC,SC,,
EM94,SC,NC,,
EM93,SC,GA,,
EM92,SC,GA,,
